"yday","prcp","vp","tmax","tmin","avTemp","sat.vp","RH"
"1",1,0,320,292.15,272.15,282.15,72413.7719243097,0.441904891150373
"2",2,0,680,291.65,279.15,285.4,76054.4153196089,0.894096676889024
"3",3,0,680,294.65,280.65,287.65,78653.5487720692,0.86455094603624
"4",4,1,600,296.65,280.65,288.65,79829.6850512621,0.751600109175821
"5",5,0,800,296.15,282.65,289.4,80720.3289000108,0.99107623928412
"6",6,0,1120,292.65,284.15,288.4,79534.4334139248,1.40819510735826
"7",7,6,1200,289.65,282.65,286.15,76913.5757165597,1.56019270827066
"8",8,5,920,289.15,279.15,284.15,74638.3956474305,1.23260955975769
"9",9,0,600,290.15,276.15,283.15,73519.8068687152,0.816106605219223
"10",10,0,480,289.65,273.65,281.65,71865.4355083971,0.667914967194368
"11",11,0,480,291.15,273.65,282.4,72689.1083992833,0.660346523117806
"12",12,0,440,292.15,273.15,282.65,72965.2254940128,0.603026985829166
"13",13,0,440,291.15,273.15,282.15,72413.7719243097,0.607619225331762
"14",14,0,520,291.15,274.65,282.9,73242.1245399623,0.709973943637146
"15",15,0,480,291.15,274.15,282.65,72965.2254940128,0.657847620904545
"16",16,0,440,290.15,272.65,281.4,71592.4329051639,0.61459009303798
"17",17,0,440,287.15,272.15,279.65,69703.0484323166,0.631249292385327
"18",18,0,320,287.15,269.15,278.15,68113.466659617,0.469804306979608
"19",19,0,320,289.65,269.15,279.4,69436.2109360722,0.460854640087741
"20",20,0,360,292.15,271.15,281.65,71865.4355083971,0.500936225395776
"21",21,0,440,292.15,274.15,283.15,73519.8068687152,0.598478177160763
"22",22,0,520,292.15,275.65,283.9,74357.5668693554,0.699323581840203
"23",23,0,480,292.65,275.15,283.9,74357.5668693554,0.645529460160187
"24",24,0,680,290.65,278.15,284.4,74920.0143678984,0.907634636401465
"25",25,0,600,292.15,277.15,284.65,75202.4243629852,0.797846618752522
"26",26,0,480,293.65,275.65,284.65,75202.4243629852,0.638277295002018
"27",27,4,1200,291.65,282.65,287.15,78070.3375702111,1.53707545957618
"28",28,6,1200,290.65,282.65,286.65,77490.3501064556,1.5485799178239
"29",29,0,680,289.65,277.15,283.4,73798.2738119718,0.921430766433033
"30",30,0,560,287.65,274.15,280.9,71048.7522534128,0.788191181743239
"31",31,0,400,287.65,271.15,279.4,69436.2109360722,0.576068300109676
"32",32,0,400,290.65,271.65,281.15,71320.2055971051,0.560850879005649
"33",33,0,480,292.65,274.65,283.65,74077.5267015446,0.647969797822625
"34",34,0,560,292.65,276.15,284.4,74920.0143678984,0.747463818212971
"35",35,7,720,289.15,276.15,282.65,72965.2254940128,0.986771431356818
"36",36,0,520,284.15,271.65,277.9,67851.1971407732,0.76638294077721
"37",37,0,440,287.15,270.65,278.9,68904.828572714,0.638561925360101
"38",38,0,440,290.15,272.15,281.15,71320.2055971051,0.616935966906213
"39",39,0,480,293.15,273.65,283.4,73798.2738119718,0.650421717482141
"40",40,0,480,297.15,274.65,285.9,76626.3900919977,0.626416042075989
"41",41,0,520,299.15,276.15,287.65,78653.5487720692,0.661127194027713
"42",42,0,560,298.15,277.15,287.65,78653.5487720692,0.711983132029845
"43",43,0,560,297.15,276.65,286.9,77779.9415376072,0.719979970323371
"44",44,0,560,298.15,277.15,287.65,78653.5487720692,0.711983132029845
"45",45,0,920,296.15,282.15,289.15,80422.6314609298,1.1439565993895
"46",46,16,760,289.65,276.65,283.15,73519.8068687152,1.03373503327768
"47",47,11,760,285.15,276.15,280.65,70778.0715434203,1.07377890274075
"48",48,0,640,290.15,274.65,282.4,72689.1083992833,0.880462030823741
"49",49,0,600,294.15,275.15,284.65,75202.4243629852,0.797846618752522
"50",50,0,680,296.15,277.15,286.65,77490.3501064556,0.877528620100209
"51",51,0,760,294.15,278.15,286.15,76913.5757165597,0.98812204857142
"52",52,0,880,291.15,278.65,284.9,75485.6269650108,1.16578484591232
"53",53,0,800,292.15,278.15,285.15,75769.6235063863,1.05583209072244
"54",54,0,1080,292.65,281.65,287.15,78070.3375702111,1.38336791361857
"55",55,0,720,299.65,278.65,289.15,80422.6314609298,0.89527038213091
"56",56,0,880,297.15,280.65,288.9,80125.7506224768,1.09827364257246
"57",57,0,600,297.65,276.65,287.15,78070.3375702111,0.768537729788092
"58",58,0,680,299.65,279.65,289.65,81018.8442731344,0.839310911061077
"59",59,0,520,301.65,278.15,289.9,81318.1789137364,0.63946341020699
"60",60,0,640,302.15,280.15,291.15,82827.1878002085,0.77269314218874
"61",61,0,680,301.15,281.15,291.15,82827.1878002085,0.820986463575536
"62",62,0,720,297.15,280.15,288.65,79829.6850512621,0.901920131010985
"63",63,0,680,292.15,277.65,284.9,75485.6269650108,0.900833744568611
"64",64,0,440,294.65,274.15,284.4,74920.0143678984,0.587293000024477
"65",65,0,520,295.15,276.15,285.65,76340.0037372593,0.681163183839619
"66",66,0,440,293.15,273.65,283.4,73798.2738119718,0.596219907691963
"67",67,0,480,294.15,274.65,284.4,74920.0143678984,0.640683272753975
"68",68,0,520,294.65,276.15,285.4,76054.4153196089,0.683720988209254
"69",69,0,560,295.65,277.65,286.65,77490.3501064556,0.722670628317819
"70",70,0,520,297.65,277.65,287.65,78653.5487720692,0.661127194027713
"71",71,0,480,299.65,277.65,288.65,79829.6850512621,0.601280087340657
"72",72,0,600,300.65,280.15,290.4,81919.311331203,0.732428032230614
"73",73,0,600,300.65,280.65,290.65,82221.1117750132,0.729739585183204
"74",74,0,720,300.15,282.15,291.15,82827.1878002085,0.869279784962332
"75",75,0,600,297.15,279.65,288.4,79534.4334139248,0.754390236084781
"76",76,3,720,292.15,277.65,284.9,75485.6269650108,0.953823964837353
"77",77,4,680,288.15,275.65,281.9,72139.2147377519,0.942621849256342
"78",78,0,480,291.65,274.15,282.9,73242.1245399623,0.655360563357365
"79",79,0,480,297.15,276.15,286.65,77490.3501064556,0.619431967129559
"80",80,0,520,300.65,278.15,289.4,80720.3289000108,0.644199555534678
"81",81,0,520,301.65,279.15,290.4,81919.311331203,0.634770961266532
"82",82,0,520,301.15,278.65,289.9,81318.1789137364,0.63946341020699
"83",83,0,560,301.15,279.65,290.4,81919.311331203,0.683599496748573
"84",84,0,800,302.65,285.15,293.9,86220.0416507697,0.927858517211536
"85",85,0,560,303.65,281.65,292.65,84665.3129870584,0.661427897969974
"86",86,0,560,303.15,281.65,292.4,84356.878394947,0.663846281008834
"87",87,0,520,302.65,282.15,292.4,84356.878394947,0.616428689508203
"88",88,0,520,303.15,282.15,292.65,84665.3129870584,0.614183048114976
"89",89,0,600,302.65,283.65,293.15,85284.6893118454,0.703526042999449
"90",90,0,640,301.65,284.15,292.9,84974.5828482292,0.753166392288252
"91",91,0,520,300.15,281.15,290.65,82221.1117750132,0.632440973825444
"92",92,0,400,302.15,279.15,290.65,82221.1117750132,0.486493056788803
"93",93,0,520,302.15,282.65,292.4,84356.878394947,0.616428689508203
"94",94,0,480,300.15,280.65,290.4,81919.311331203,0.585942425784491
"95",95,0,480,299.15,280.15,289.65,81018.8442731344,0.592454760748996
"96",96,0,400,301.15,280.15,290.65,82221.1117750132,0.486493056788803
"97",97,0,400,302.15,280.65,291.4,83131.46604857,0.481165579067615
"98",98,0,520,301.15,283.65,292.4,84356.878394947,0.616428689508203
"99",99,0,360,301.65,280.65,291.15,82827.1878002085,0.434639892481166
"100",100,0,600,297.65,283.65,290.65,82221.1117750132,0.729739585183204
"101",101,0,400,295.15,279.65,287.4,78361.539537327,0.510454493826608
"102",102,0,280,298.15,277.15,287.65,78653.5487720692,0.355991566014922
"103",103,0,360,301.15,279.65,290.4,81919.311331203,0.439456819338368
"104",104,0,400,305.15,281.65,293.4,85595.6337112638,0.46731355637754
"105",105,0,600,308.15,287.65,297.9,91337.4396840456,0.656904772101692
"106",106,0,480,307.15,283.65,295.4,88113.5145859988,0.544751849083854
"107",107,0,560,304.15,286.15,295.15,87795.8187039436,0.637843587845996
"108",108,0,360,298.65,280.15,289.4,80720.3289000108,0.445984307677854
"109",109,0,320,302.65,277.65,290.15,81618.3341552699,0.39206877144936
"110",110,0,440,305.15,283.15,294.15,86533.5078573949,0.50847355076037
"111",111,0,480,303.15,283.65,293.4,85595.6337112638,0.560776267653049
"112",112,0,360,302.65,280.15,291.4,83131.46604857,0.433049021160854
"113",113,0,360,304.15,280.65,292.4,84356.878394947,0.426758323505679
"114",114,0,400,304.65,282.15,293.4,85595.6337112638,0.46731355637754
"115",115,0,440,303.65,283.15,293.4,85595.6337112638,0.514044912015295
"116",116,0,400,303.65,281.15,292.4,84356.878394947,0.47417591500631
"117",117,0,360,305.15,280.15,292.65,84665.3129870584,0.425203648694984
"118",118,0,520,305.15,285.15,295.15,87795.8187039436,0.592283331571282
"119",119,0,560,306.65,286.65,296.65,89714.7696646979,0.62420045449925
"120",120,0,480,307.65,284.65,296.15,89071.7071683853,0.53889165848431
"121",121,0,600,306.15,287.65,296.9,90037.5851432473,0.666388374416547
"122",122,0,560,302.65,286.65,294.65,87162.9714104168,0.642474655164262
"123",123,0,360,301.15,280.65,290.9,82523.7368201856,0.43623812235311
"124",124,0,400,304.15,281.15,292.65,84665.3129870584,0.472448498549982
"125",125,0,480,306.15,284.65,295.4,88113.5145859988,0.544751849083854
"126",126,0,520,305.65,285.15,295.4,88113.5145859988,0.590147836507509
"127",127,0,480,302.15,284.15,293.15,85284.6893118454,0.562820834399559
"128",128,0,440,302.15,283.15,292.65,84665.3129870584,0.51969334840498
"129",129,0,520,305.15,285.15,295.15,87795.8187039436,0.592283331571282
"130",130,0,640,306.65,288.65,297.65,91011.1844902049,0.703210274193146
"131",131,0,440,306.15,282.65,294.4,86847.8173328908,0.506633342682021
"132",132,0,520,308.65,285.65,297.15,90361.2585520861,0.57546785904964
"133",133,0,600,307.15,287.15,297.15,90361.2585520861,0.664001375826508
"134",134,0,560,302.15,286.15,294.15,86533.5078573949,0.647148155513199
"135",135,0,360,300.65,280.65,290.65,82221.1117750132,0.437843751109923
"136",136,0,480,303.15,284.65,293.9,86220.0416507697,0.556715110326921
"137",137,0,720,303.65,289.65,296.65,89714.7696646979,0.802543441499036
"138",138,0,720,305.65,289.65,297.65,91011.1844902049,0.791111558467289
"139",139,0,720,309.15,290.15,299.65,93645.471891091,0.768857250073292
"140",140,0,720,312.15,289.65,300.9,95320.2171291848,0.755348678050328
"141",141,0,800,312.65,291.65,302.15,97016.9432689662,0.824598233096366
"142",142,0,800,310.15,291.65,300.9,95320.2171291848,0.839276308944809
"143",143,0,600,302.15,287.15,294.65,87162.9714104168,0.688365701961709
"144",144,0,480,296.65,284.15,290.4,81919.311331203,0.585942425784491
"145",145,0,520,299.65,285.15,292.4,84356.878394947,0.616428689508203
"146",146,0,440,303.65,282.65,293.15,85284.6893118454,0.515919098199596
"147",147,0,480,303.65,284.15,293.9,86220.0416507697,0.556715110326921
"148",148,0,480,306.15,283.65,294.9,87478.9714230825,0.548703296565448
"149",149,0,480,307.15,284.65,295.9,88751.4574853797,0.540836188610279
"150",150,0,520,307.65,285.65,296.65,89714.7696646979,0.579614707749304
"151",151,0,560,308.65,286.15,297.4,90685.7912236299,0.617516804390059
"152",152,0,480,310.15,284.65,297.4,90685.7912236299,0.529300118048622
"153",153,0,560,311.15,286.65,298.9,92651.1063733303,0.604418038726407
"154",154,0,680,310.65,289.15,299.9,93978.6704512868,0.723568440301008
"155",155,0,680,310.65,289.15,299.9,93978.6704512868,0.723568440301008
"156",156,0,680,309.65,289.15,299.4,93313.1459123011,0.728729048144071
"157",157,0,720,306.15,290.15,298.15,91664.5581372906,0.785472613004494
"158",158,0,560,308.15,286.65,297.4,90685.7912236299,0.617516804390059
"159",159,0,720,310.65,289.65,300.15,94312.7429241374,0.76341751673912
"160",160,0,840,310.15,292.15,301.15,95657.7985625567,0.87813018135753
"161",161,0,720,312.15,290.15,301.15,95657.7985625567,0.752683012592169
"162",162,0,760,313.65,290.65,302.15,97016.9432689662,0.783368321441548
"163",163,0,960,312.15,294.15,303.15,98390.2621766981,0.975706313573945
"164",164,0,880,310.65,292.65,301.65,96335.6044605252,0.913473273903203
"165",165,0,720,312.15,289.65,300.9,95320.2171291848,0.755348678050328
"166",166,0,840,314.15,292.15,303.15,98390.2621766981,0.853743024377202
"167",167,0,1000,315.15,294.65,304.9,100827.932856387,0.991788655852278
"168",168,0,1000,315.65,294.65,305.15,101179.762924387,0.988339931916343
"169",169,0,1040,315.65,295.65,305.65,101886.129891089,1.02074737858009
"170",170,0,1080,315.15,296.15,305.65,101886.129891089,1.06000689314087
"171",171,0,880,314.65,293.15,303.9,99429.6043674938,0.88504827671596
"172",172,0,880,315.65,293.15,304.4,100126.972911738,0.878884055324154
"173",173,0,920,316.65,293.65,305.15,101179.762924387,0.909272737363036
"174",174,0,1240,316.15,298.15,307.15,104026.981003538,1.19199844890032
"175",175,0,1080,315.15,296.15,305.65,101886.129891089,1.06000689314087
"176",176,0,1040,315.15,295.65,305.4,101532.494826729,1.02430261540881
"177",177,0,1200,313.65,297.65,305.65,101886.129891089,1.17778543682319
"178",178,12,920,312.15,293.65,302.9,98045.5989641454,0.938338905284711
"179",179,0,840,311.65,292.15,301.9,96675.8315858484,0.8688831388578
"180",180,0,1000,312.15,294.65,303.4,98735.8165953606,1.01280369624956
"181",181,0,1200,313.65,297.65,305.65,101886.129891089,1.17778543682319
"182",182,0,1240,313.65,298.15,305.9,102240.669444938,1.21282460955306
"183",183,0,1280,313.65,298.65,306.15,102596.114815543,1.24761059646489
"184",184,0,1040,313.65,295.65,304.65,100477.00329486,1.0350627167373
"185",185,0,1200,313.65,297.65,305.65,101886.129891089,1.17778543682319
"186",186,3,1080,312.65,296.15,304.4,100126.972911738,1.07863043153419
"187",187,2,1080,311.65,296.15,303.9,99429.6043674938,1.08619561233322
"188",188,6,1000,311.15,295.15,303.15,98390.2621766981,1.01636074330619
"189",189,9,1000,310.65,294.65,302.65,97701.8256283678,1.02352232782603
"190",190,0,1160,310.65,297.15,303.9,99429.6043674938,1.16665454658013
"191",191,0,1120,308.15,296.65,302.4,97358.9408398635,1.15038227648982
"192",192,9,1200,304.65,295.65,300.15,94312.7429241374,1.27236252789853
"193",193,26,1040,304.65,293.15,298.9,92651.1063733303,1.12249064334904
"194",194,0,1520,306.15,295.15,300.65,94983.5149321613,1.60027769143478
"195",195,4,2160,306.15,296.15,301.15,95657.7985625567,2.25804903777651
"196",196,4,2040,305.65,295.15,300.4,94647.6906407651,2.15536162180947
"197",197,0,1400,308.65,295.15,301.9,96675.8315858484,1.448138564763
"198",198,0,1240,311.15,295.65,303.4,98735.8165953606,1.25587658334946
"199",199,0,1360,312.65,297.15,304.9,100827.932856387,1.3488325719591
"200",200,0,1240,312.65,296.15,304.4,100126.972911738,1.23842753250222
"201",201,16,1520,311.15,294.65,302.9,98045.5989641454,1.55029906090518
"202",202,14,2040,307.15,294.65,300.9,95320.2171291848,2.14015458780926
"203",203,0,2200,307.15,296.15,301.65,96335.6044605252,2.28368318475801
"204",204,0,2120,308.65,296.65,302.65,97701.8256283678,2.16986733499119
"205",205,3,2120,308.15,294.65,301.4,95996.2605628578,2.20841935672258
"206",206,0,1800,310.65,295.65,303.15,98390.2621766981,1.82944933795115
"207",207,0,1720,310.65,295.15,302.9,98045.5989641454,1.75428577944533
"208",208,0,1960,309.65,296.15,302.9,98045.5989641454,1.99906984169352
"209",209,1,2320,308.15,297.15,302.65,97701.8256283678,2.37457180055639
"210",210,0,1800,309.15,295.15,302.15,97016.9432689662,1.85534602446682
"211",211,0,1520,310.15,293.65,301.9,96675.8315858484,1.57226472745697
"212",212,0,1520,311.65,294.15,302.9,98045.5989641454,1.55029906090518
"213",213,0,1520,313.15,294.65,303.9,99429.6043674938,1.5287197506912
"214",214,0,2040,314.65,298.15,306.4,102952.467329966,1.98149694990965
"215",215,0,2000,313.65,297.65,305.65,101886.129891089,1.96297572803864
"216",216,5,2200,311.15,295.65,303.4,98735.8165953606,2.22816813174904
"217",217,6,2160,309.15,294.65,301.9,96675.8315858484,2.23427092849149
"218",218,0,1960,310.65,295.65,303.15,98390.2621766981,1.99206705688014
"219",219,9,2040,311.65,294.15,302.9,98045.5989641454,2.08066452910958
"220",220,0,1960,311.15,295.15,303.15,98390.2621766981,1.99206705688014
"221",221,0,2000,308.65,294.65,301.65,96335.6044605252,2.07607562250728
"222",222,0,2640,306.65,296.65,301.65,96335.6044605252,2.74041982170961
"223",223,0,2160,308.15,295.15,301.65,96335.6044605252,2.24216167230786
"224",224,0,2200,310.65,296.15,303.4,98735.8165953606,2.22816813174904
"225",225,0,2520,311.15,297.65,304.4,100126.972911738,2.51680434024644
"226",226,0,2080,310.15,295.15,302.65,97701.8256283678,2.12892644187815
"227",227,12,2320,308.15,294.15,301.15,95657.7985625567,2.42531192946365
"228",228,0,2360,308.65,295.65,302.15,97016.9432689662,2.43256478763428
"229",229,0,2440,309.15,296.15,302.65,97701.8256283678,2.49739447989552
"230",230,0,2400,309.65,296.15,302.9,98045.5989641454,2.44784062248186
"231",231,0,2400,309.65,296.15,302.9,98045.5989641454,2.44784062248186
"232",232,0,2280,310.65,295.65,303.15,98390.2621766981,2.31730249473812
"233",233,0,2040,311.65,294.65,303.15,98390.2621766981,2.07337591634463
"234",234,0,1960,312.15,294.15,303.15,98390.2621766981,1.99206705688014
"235",235,0,2320,312.15,296.15,304.15,99777.8403787643,2.32516557904351
"236",236,0,2240,311.65,295.65,303.65,99082.2635492963,2.26074770575415
"237",237,0,2200,311.15,295.15,303.15,98390.2621766981,2.23599363527362
"238",238,0,2440,308.65,295.65,302.15,97016.9432689662,2.51502461094392
"239",239,5,2480,305.15,294.15,299.65,93645.471891091,2.64828608358578
"240",240,8,2400,305.65,293.65,299.65,93645.471891091,2.56285750024431
"241",241,5,2280,306.15,292.65,299.4,93313.1459123011,2.44338563201247
"242",242,9,2320,308.15,293.15,300.65,94983.5149321613,2.4425291079794
"243",243,8,2560,308.65,294.65,301.65,96335.6044605252,2.65737679680932
"244",244,13,2320,306.65,293.15,299.9,93978.6704512868,2.46864526690932
"245",245,0,2240,306.15,292.65,299.4,93313.1459123011,2.40051921741576
"246",246,0,2200,308.15,292.65,300.4,94647.6906407651,2.32440959214746
"247",247,0,2440,308.65,294.15,301.4,95996.2605628578,2.54176567471844
"248",248,0,2240,309.65,293.15,301.4,95996.2605628578,2.33342422597103
"249",249,0,1960,311.15,291.65,301.4,95996.2605628578,2.04174619772465
"250",250,0,1960,312.15,291.65,301.9,96675.8315858484,2.0273939906682
"251",251,0,2720,312.15,296.15,304.15,99777.8403787643,2.72605619611997
"252",252,0,2400,310.65,294.15,302.4,97358.9408398635,2.46510487819247
"253",253,0,2280,309.15,293.15,301.15,95657.7985625567,2.38349620654187
"254",254,4,2400,308.15,293.65,300.9,95320.2171291848,2.51782892683443
"255",255,3,2120,306.65,291.65,299.15,92981.6911835449,2.28001875747252
"256",256,17,1920,305.65,290.15,297.9,91337.4396840456,2.10209527072541
"257",257,0,1800,305.65,289.15,297.4,90685.7912236299,1.98487544268233
"258",258,0,1680,308.65,288.15,298.4,91992.5411819793,1.82623501689841
"259",259,0,2400,308.15,293.65,300.9,95320.2171291848,2.51782892683443
"260",260,0,2320,306.15,293.15,299.65,93645.471891091,2.47742891690283
"261",261,0,2120,307.15,291.65,299.4,93313.1459123011,2.27191997362563
"262",262,0,1880,308.15,289.65,298.9,92651.1063733303,2.02911770143865
"263",263,0,2000,309.15,290.65,299.9,93978.6704512868,2.12814247147355
"264",264,0,2080,309.65,291.15,300.4,94647.6906407651,2.19762361439397
"265",265,0,2200,309.65,292.15,300.9,95320.2171291848,2.30800984959822
"266",266,0,2080,309.15,291.15,300.15,94312.7429241374,2.20542838169079
"267",267,0,2080,310.15,291.15,300.65,94983.5149321613,2.18985368301601
"268",268,0,2120,310.65,291.65,301.15,95657.7985625567,2.21623331485472
"269",269,0,2720,309.65,295.65,302.65,97701.8256283678,2.78398073168681
"270",270,5,2480,307.65,294.15,300.9,95320.2171291848,2.60175655772891
"271",271,0,1920,308.15,290.15,299.15,92981.6911835449,2.064922648277
"272",272,0,2400,308.15,293.65,300.9,95320.2171291848,2.51782892683443
"273",273,0,2560,307.65,294.65,301.15,95657.7985625567,2.67620626699438
"274",274,0,2560,308.15,294.65,301.4,95996.2605628578,2.66677054396689
"275",275,0,2120,308.65,291.65,300.15,94312.7429241374,2.24784046595408
"276",276,0,1800,308.65,289.15,298.9,92651.1063733303,1.94277226733488
"277",277,0,2080,307.15,291.15,299.15,92981.6911835449,2.23699953563342
"278",278,0,1920,305.15,290.15,297.65,91011.1844902049,2.10963082257944
"279",279,0,1920,301.65,290.15,295.9,88751.4574853797,2.16334475444112
"280",280,0,1320,302.65,284.15,293.4,85595.6337112638,1.54213473604588
"281",281,0,1360,306.15,284.65,295.4,88113.5145859988,1.54346357240425
"282",282,0,1760,308.65,288.65,298.65,92321.3901500489,1.90638377210253
"283",283,0,1760,307.65,288.65,298.15,91664.5581372906,1.9200441651221
"284",284,0,2080,306.65,291.15,298.9,92651.1063733303,2.24498128669808
"285",285,0,1800,304.65,289.15,296.9,90037.5851432473,1.99916512324964
"286",286,0,840,297.65,277.65,287.65,78653.5487720692,1.06797469804477
"287",287,0,680,296.15,275.15,285.65,76340.0037372593,0.890751855790272
"288",288,0,800,297.15,277.15,287.15,78070.3375702111,1.02471697305079
"289",289,0,960,302.65,280.15,291.4,83131.46604857,1.15479738976228
"290",290,0,1440,305.65,286.15,295.9,88751.4574853797,1.62250856583084
"291",291,0,1320,306.15,285.15,295.65,88432.0604021863,1.4926713162587
"292",292,0,1640,307.15,288.65,297.9,91337.4396840456,1.79553971041129
"293",293,0,1320,307.15,286.15,296.65,89714.7696646979,1.47132964274823
"294",294,0,1360,307.65,286.65,297.15,90361.2585520861,1.50506978520675
"295",295,0,1280,306.15,285.65,295.9,88751.4574853797,1.44222983629408
"296",296,0,1040,305.15,282.65,293.9,86220.0416507697,1.206216072375
"297",297,0,800,303.65,279.15,291.4,83131.46604857,0.962331158135231
"298",298,0,880,304.15,280.15,292.15,84049.2777384838,1.04700483297202
"299",299,0,880,304.65,280.65,292.65,84665.3129870584,1.03938669680996
"300",300,0,1080,306.65,283.15,294.9,87478.9714230825,1.23458241727226
"301",301,0,1480,305.15,287.15,296.15,89071.7071683853,1.66158261365996
"302",302,0,1560,305.65,287.65,296.65,89714.7696646979,1.73884412324791
"303",303,0,1360,306.65,286.15,296.4,89392.8107839379,1.52137513976053
"304",304,0,1400,306.15,286.15,296.15,89071.7071683853,1.57176733724591
"305",305,0,1280,306.15,285.15,295.65,88432.0604021863,1.44743885212965
"306",306,0,1280,307.15,285.15,296.15,89071.7071683853,1.43704442262483
"307",307,0,1320,305.65,285.65,295.65,88432.0604021863,1.4926713162587
"308",308,0,1360,303.65,285.65,294.65,87162.9714104168,1.56029559111321
"309",309,0,1600,301.65,287.15,294.4,86847.8173328908,1.84230306429826
"310",310,0,1040,298.15,281.65,289.9,81318.1789137364,1.27892682041398
"311",311,0,680,295.15,276.15,285.65,76340.0037372593,0.890751855790272
"312",312,0,640,296.65,275.65,286.15,76913.5757165597,0.832102777744353
"313",313,0,680,299.65,276.65,288.15,79239.9943771357,0.858152509152891
"314",314,0,840,299.15,279.15,289.15,80422.6314609298,1.04448211248606
"315",315,0,880,295.15,278.65,286.9,77779.9415376072,1.13139709622244
"316",316,0,880,293.65,278.15,285.9,76626.3900919977,1.14842941047265
"317",317,0,760,294.65,276.65,285.65,76340.0037372593,0.995546191765598
"318",318,0,760,296.65,278.15,287.4,78361.539537327,0.969863538270555
"319",319,0,840,299.65,279.65,289.65,81018.8442731344,1.03679583131074
"320",320,0,880,299.15,280.15,289.65,81018.8442731344,1.08616706137316
"321",321,0,1000,299.65,281.65,290.65,82221.1117750132,1.21623264197201
"322",322,0,880,302.65,280.65,291.65,83436.5728987536,1.05469336698169
"323",323,0,920,303.15,281.65,292.4,84356.878394947,1.09060460451451
"324",324,0,880,303.15,280.65,291.9,83742.5096842366,1.05084025224246
"325",325,0,800,303.15,279.65,291.4,83131.46604857,0.962331158135231
"326",326,0,1000,299.65,281.65,290.65,82221.1117750132,1.21623264197201
"327",327,0,880,299.65,280.15,289.9,81318.1789137364,1.0821688480426
"328",328,0,840,299.65,279.15,289.4,80720.3289000108,1.04063005124833
"329",329,0,800,300.15,279.15,289.65,81018.8442731344,0.987424601248326
"330",330,0,1240,299.15,284.15,291.65,83436.5728987536,1.48615883529239
"331",331,0,1160,299.15,284.15,291.65,83436.5728987536,1.39027762011223
"332",332,12,1320,296.65,284.15,290.4,81919.311331203,1.61134167090735
"333",333,8,1000,292.15,280.15,286.15,76913.5757165597,1.30016059022555
"334",334,0,880,291.15,278.65,284.9,75485.6269650108,1.16578484591232
"335",335,0,600,294.15,277.15,285.65,76340.0037372593,0.785957519814946
"336",336,0,640,296.65,278.15,287.4,78361.539537327,0.816727190122573
"337",337,0,600,299.65,278.15,288.9,80125.7506224768,0.748822938117585
"338",338,0,600,297.65,278.15,287.9,78946.3666076019,0.760009644246535
"339",339,0,600,295.15,277.15,286.15,76913.5757165597,0.780096354135331
"340",340,0,560,296.15,276.65,286.4,77201.5619437535,0.725373924957629
"341",341,0,560,296.15,276.15,286.15,76913.5757165597,0.728089930526309
"342",342,0,600,293.65,276.65,285.15,75769.6235063863,0.79187406804183
"343",343,1,920,291.65,280.15,285.9,76626.3900919977,1.20063074731231
"344",344,0,800,289.65,278.15,283.9,74357.5668693554,1.07588243360031
"345",345,0,560,290.15,275.15,282.65,72965.2254940128,0.767488891055303
"346",346,0,520,294.65,276.15,285.4,76054.4153196089,0.683720988209254
"347",347,0,360,297.15,279.15,288.15,79239.9943771357,0.454316034257413
"348",348,0,520,296.15,281.65,288.9,80125.7506224768,0.648979879701907
"349",349,1,600,290.65,279.65,285.15,75769.6235063863,0.79187406804183
"350",350,0,480,290.65,277.15,283.9,74357.5668693554,0.645529460160187
"351",351,0,760,289.65,280.65,285.15,75769.6235063863,1.00304048618632
"352",352,0,680,293.65,282.15,287.9,78946.3666076019,0.861344263479406
"353",353,1,480,291.15,278.15,284.65,75202.4243629852,0.638277295002018
"354",354,0,320,289.65,273.15,281.4,71592.4329051639,0.446974613118531
"355",355,0,280,290.65,273.15,281.9,72139.2147377519,0.388138408517317
"356",356,0,240,292.65,271.65,282.15,72413.7719243097,0.33142866836278
"357",357,0,280,294.15,274.15,284.15,74638.3956474305,0.375142039926255
"358",358,8,640,291.15,278.15,284.65,75202.4243629852,0.851036393336023
"359",359,0,680,290.15,278.65,284.4,74920.0143678984,0.907634636401465
"360",360,0,760,290.15,279.65,284.9,75485.6269650108,1.00681418510609
"361",361,7,480,288.65,273.65,281.15,71320.2055971051,0.673021054806778
"362",362,0,400,281.15,269.65,275.4,65269.9001182701,0.6128399143789
"363",363,0,280,289.15,269.65,279.4,69436.2109360722,0.403247810076773
"364",364,0,360,294.15,273.65,283.9,74357.5668693554,0.484147095120141
"365",365,0,360,298.15,275.15,286.65,77490.3501064556,0.464573975347169
